Hour,Electricity_Price_$/MWh,Carbon_Intensity_kg_CO2/MWh,Curtailment_Available,Battery_Charge_MW,Battery_Discharge_MW,Battery_SOC_MWh,Load_Jobs_As_Is_MW,Load_Curtailment_Only_MW,Load_Carbon_Aware_MW,Load_Jobs_As_Is_With_Battery_MW,Load_Curtailment_Only_With_Battery_MW,Load_Carbon_Aware_With_Battery_MW
53,36.01112463418913,332.8049009876257,0.0,0.0,0.0,0.0,20.0,14.000000003970161,17.60000127545614,20.0,14.000000003970161,17.60000127545614
54,43.24799617996761,370.58780571123543,0.0,0.0,0.0,0.0,20.0,14.000000000794033,13.680000382636841,20.0,14.000000000794033,13.680000382636841
55,46.3325266294674,262.7956670989323,0.0,0.0,0.0,0.0,20.0,14.000000000158808,18.104000114791052,20.0,14.000000000158808,18.104000114791052
56,35.786259814218894,260.842044026317,0.0,0.0,0.0,0.0,20.0,14.000000000031763,19.431200034437317,20.0,14.000000000031763,19.431200034437317
57,43.132902710988496,276.60250073103884,0.0,0.0,0.0,0.0,20.0,14.000000000006354,19.829360010331193,20.0,14.000000000006354,19.829360010331193
58,50.640488507995094,222.0245900051981,1.0,20.0,0.0,18.0,20.0,18.80000000000127,19.94880800309936,40.0,34.80000000000127,29.94880800309936
59,57.2932484113149,172.77878271876057,1.0,20.0,0.0,36.0,20.0,19.760000000000254,19.984642400929808,40.0,35.760000000000254,29.984642400929808
60,46.16660609723768,178.54088872220095,1.0,20.0,0.0,54.0,20.0,19.95200000000005,19.995392720278943,40.0,35.952000000000055,29.995392720278943
61,48.003615581025485,225.49905852468004,1.0,20.0,0.0,72.0,20.0,19.99040000000001,19.998617816083684,40.0,35.99040000000001,29.998617816083684
62,39.139701264718354,198.1851904808201,1.0,8.88888888888889,0.0,80.0,20.0,19.99808,19.999585344825107,28.88888888888889,27.109191111111112,24.44402978926955
63,36.03694872515285,250.4277405094771,1.0,0.0,0.0,80.0,20.0,19.999616,19.99987560344753,20.0,19.999616,19.99987560344753
64,49.000206579153584,276.3671551971144,1.0,0.0,0.0,80.0,20.0,19.9999232,19.99996268103426,20.0,19.9999232,19.99996268103426
