Date,Reason,Curtailment (MWh)
2024-07-01,System,2432.8860565779396
2024-07-02,Local,2411.707859837987
2024-07-02,System,1219.2527517434926
2024-07-03,Local,1787.335522201121
2024-07-03,System,1996.6591698909574
2024-07-04,Local,1572.8445718254259
2024-07-04,System,527.3012552284451
2024-07-05,Local,1853.0836418796844
2024-07-05,System,1637.9190478965015
2024-07-06,Local,1643.7473875748558
2024-07-06,System,183.8155979275
2024-07-07,Local,1580.21442058118
2024-07-07,System,34.68734244111058
2024-07-08,Local,1406.788007215202
2024-07-08,System,278.32751829666705
2024-07-09,Local,1419.7941357936215
2024-07-09,System,20.869453381666577
2024-07-10,Local,1574.876990046405
2024-07-10,System,412.1422307824997
2024-07-11,Local,1375.9337443298975
2024-07-11,System,522.0510660770242
2024-07-12,Local,1357.5163844843635
2024-07-12,System,414.3260487075496
2024-07-13,Local,711.7500620760982
2024-07-13,System,215.70239911213744
2024-07-14,Local,2190.060725637762
2024-07-14,System,27.244358522499997
2024-07-15,Local,653.4427709970171
2024-07-15,System,380.7155303632388
2024-07-16,Local,804.8631306029716
2024-07-16,System,511.8394701444157
2024-07-17,Local,1719.1406985884817
2024-07-17,System,199.53549483416705
2024-07-18,Local,973.0008319321901
2024-07-18,System,144.0379133875
2024-07-19,Local,1354.7158221307504
2024-07-19,System,396.8181037213972
2024-07-20,Local,1197.608215803151
2024-07-20,System,58.145641060833725
2024-07-21,Local,1712.2628145715046
2024-07-21,System,31.54451930283285
2024-07-22,Local,1861.501766449905
2024-07-22,System,112.8747635428342
2024-07-23,Local,1478.2926918312658
2024-07-23,System,85.5238398775
2024-07-24,Local,1197.3424694571531
2024-07-24,System,43.528240291784826
2024-07-25,Local,1224.348599458842
2024-07-25,System,147.9039688083337
2024-07-26,Local,1302.7765554362884
2024-07-26,System,416.9232441118296
2024-07-27,Local,2618.564587103647
2024-07-27,System,1688.1609253646402
2024-07-28,Local,3108.9584084387247
2024-07-28,System,2032.9040408427452
2024-07-29,Local,1907.6254633787548
2024-07-29,System,596.3640220543954
2024-07-30,Local,2243.0351878256743
2024-07-30,System,485.6400007816666
2024-07-31,Local,1226.35510866105
2024-07-31,System,28.88776754833391
2024-08-01,Local,1622.7925512869253
2024-08-01,System,25.232428389999583
2024-08-02,Local,194.26692320630457
2024-08-02,System,48.722295841665485
2024-08-03,Local,956.5716557037762
2024-08-03,System,81.59258436784012
2024-08-04,Local,1720.584863430971
2024-08-04,System,168.1935840267831
2024-08-05,Local,1879.1382059643608
2024-08-05,System,658.7375642970841
2024-08-06,Local,1929.0730003920603
2024-08-06,System,1021.6157549521571
2024-08-07,Local,1556.1863130516163
2024-08-07,System,787.283992629008
2024-08-08,Local,1432.045585543989
2024-08-08,System,101.01350695416676
2024-08-09,Local,1234.4218284670355
2024-08-09,System,82.75308908604109
2024-08-10,Local,1896.2715616526941
2024-08-10,System,87.44001924752774
2024-08-11,Local,2424.7792907611843
2024-08-11,System,26.966233212916496
2024-08-12,Local,1332.1145781248213
2024-08-12,System,246.75270686041404
2024-08-13,Local,1773.0300563811893
2024-08-13,System,40.61499612583342
2024-08-14,Local,2207.674183842275
2024-08-14,System,56.68586988262548
2024-08-15,Local,4376.162246103998
2024-08-15,System,62.21983964253331
2024-08-16,Local,1560.0660323888692
2024-08-16,System,11.708755520833526
2024-08-17,Local,952.7502008210658
2024-08-17,System,0.8110842741666641
2024-08-18,Local,5076.081354791329
2024-08-18,System,6.052499454166666
2024-08-19,Local,1423.2729976932135
2024-08-19,System,20.607001662501172
2024-08-20,Local,2247.7370329086393
2024-08-20,System,11.642912192499416
2024-08-21,Local,1716.6230148659465
2024-08-21,System,43.123655859500744
2024-08-22,Local,2773.4637898433725
2024-08-22,System,25.134670984166664
2024-08-23,Local,4097.830865182832
2024-08-23,System,2.6741669324999977
2024-08-24,Local,3711.1569459856105
2024-08-24,System,1343.7889614472256
2024-08-25,Local,5735.0044190889885
2024-08-25,System,889.830035853724
2024-08-26,Local,2625.197960192407
2024-08-26,System,0.17250010166666666
2024-08-27,Local,1380.6191219072605
2024-08-27,System,81.07351688083332
2024-08-28,Local,2136.2610136414555
2024-08-28,System,51.80316861249779
2024-08-29,Local,1105.3364401963297
2024-08-29,System,38.12899645307094
2024-08-30,Local,1290.2303747553844
2024-08-30,System,7.962149568940217
2024-08-31,Local,1331.28452468392
2024-08-31,System,21.976636385639996
2024-09-01,Local,1232.3673484209312
2024-09-01,System,55.40900250262324
2024-09-02,Local,1560.7162772628917
2024-09-02,System,10.686166521666657
2024-09-03,Local,1625.2220490054133
2024-09-03,System,41.96108431416666
2024-09-04,Local,1401.0184677217192
2024-09-04,System,18.636566454166164
2024-09-05,Local,2333.642791079974
2024-09-05,System,178.90515988922394
2024-09-06,Local,1132.6399030596108
2024-09-06,System,170.12460285671443
2024-09-07,Local,966.0794204567917
2024-09-07,System,131.21915549910932
2024-09-08,Local,1085.8461984818075
2024-09-08,System,99.71233401933364
2024-09-09,Local,1215.9526856585433
2024-09-09,System,10.9249095925
2024-09-10,Local,1105.720029462932
2024-09-10,System,88.18150505027967
2024-09-11,Local,1436.4182764568402
2024-09-11,System,49.48632273866342
2024-09-12,Local,5556.567894097264
2024-09-12,System,1678.3017659380891
2024-09-13,Local,4905.426432266207
2024-09-13,System,28.578320981104415
2024-09-14,Local,4703.987021054578
2024-09-14,System,7.781046009167032
2024-09-15,Local,6485.961707388564
2024-09-15,System,117.89076067255444
2024-09-16,Local,9127.578643495197
2024-09-16,System,12.52140445166669
2024-09-17,Local,19289.313554580945
2024-09-17,System,3449.9773856368843
2024-09-18,Local,3521.4214353556918
2024-09-18,System,542.5860324506267
2024-09-19,Local,1191.4432361224924
2024-09-19,System,39.03531121652575
2024-09-20,Local,3189.2130305104697
2024-09-20,System,29.58198688
2024-09-21,Local,10514.47031562203
2024-09-22,Local,9409.777685690866
2024-09-22,System,6.0541664766667065
2024-09-23,Local,6226.892185085426
2024-09-23,System,15.340838498333065
2024-09-24,Local,1898.295576816428
2024-09-24,System,11.516685356666667
2024-09-25,Local,2147.475497946607
2024-09-25,System,10.213366260446499
2024-09-26,Local,1699.179102198785
2024-09-26,System,106.74885199000025
2024-09-27,Local,1094.3380857084962
2024-09-27,System,173.0612713316671
2024-09-28,Local,1747.6298013565856
2024-09-28,System,0.9275990933333325
2024-09-29,Local,3964.0497985044863
2024-09-29,System,29.58916654583333
2024-09-30,Local,1858.5750284404992
2024-09-30,System,0.09916665416666666
2024-10-01,Local,1575.1494731872544
2024-10-02,Local,2663.038054521732
2024-10-02,System,4.265551775
2024-10-03,Local,2066.009364733948
2024-10-03,System,5.583333078333333
2024-10-04,Local,1152.897348452686
2024-10-04,System,4.3449547572233875
2024-10-05,Local,1035.043688315934
2024-10-05,System,142.89831254250137
2024-10-06,Local,1728.013336446302
2024-10-06,System,254.11064470916608
2024-10-07,Local,3413.3294684041875
2024-10-07,System,49.0226015452
2024-10-08,Local,3915.1515655832563
2024-10-08,System,246.86716346339853
2024-10-09,Local,7312.821988383083
2024-10-09,System,298.1180736305474
2024-10-10,Local,5569.219682723023
2024-10-10,System,92.89719459861207
2024-10-11,Local,5488.936639760841
2024-10-11,System,12.263065405833332
2024-10-12,Local,10092.087401533403
2024-10-12,System,0.3283331041666666
2024-10-13,Local,5838.4951747256755
2024-10-13,System,1.8055830749999981
2024-10-14,Local,2877.835294147492
2024-10-14,System,14.504166641666666
2024-10-15,Local,870.795623224422
2024-10-15,System,14.107499679999998
2024-10-16,Local,607.2806568101086
2024-10-16,System,28.72308219166692
2024-10-17,Local,8179.994925490541
2024-10-17,System,131.47851057999966
2024-10-18,Local,7564.328350335096
2024-10-18,System,5.633891019999999
2024-10-19,Local,14968.690873044534
2024-10-19,System,61.67907752666666
2024-10-20,Local,9691.434376078014
2024-10-20,System,0.3139166666666666
2024-10-21,Local,10379.364997956633
2024-10-22,Local,6409.370376314032
2024-10-23,Local,7245.649799290366
2024-10-23,System,17.64915918749989
2024-10-24,Local,5667.509749385717
2024-10-24,System,80.32261896166666
2024-10-25,Local,2533.856424954871
2024-10-25,System,17.89409065
2024-10-26,Local,672.4695450457128
2024-10-26,System,9.997499110833333
2024-10-27,Local,121.59346285438723
2024-10-27,System,1.6749997458333334
2024-10-28,Local,1120.4167658666827
2024-10-28,System,10.5596668275
2024-10-29,Local,3800.2083228448696
2024-10-29,System,5.104409279999999
2024-10-30,Local,5243.096494097407
2024-10-30,System,14.312500304999999
2024-10-31,Local,9057.13694470209
2024-10-31,System,10.87559593845668
2024-11-01,Local,2507.4112693224206
2024-11-01,System,48.971448646666715
2024-11-02,Local,601.7983245548154
2024-11-02,System,92.18466548916675
2024-11-03,Local,17822.628028194475
2024-11-03,System,158.90368713027024
2024-11-04,Local,6611.918560482785
2024-11-04,System,1.4886620183333332
2024-11-05,Local,430.5124332598727
2024-11-05,System,0.09916664083333417
2024-11-06,Local,10111.308689083025
2024-11-06,System,20.499553968171586
2024-11-07,Local,1600.863455691421
2024-11-07,System,3.1979989941666664
2024-11-08,Local,490.18402263725307
2024-11-08,System,1.5844171116666665
2024-11-09,Local,8378.896748723895
